district_code,district_name,district_seat,district_type,state
1000,"Berlin, Stadt",Berlin,41,Berlin
1001,"Flensburg, Stadt",Flensburg,41,Schleswig-Holstein
1002,"Kiel, Landeshauptstadt",Kiel,41,Schleswig-Holstein
1003,"Lübeck, Hansestadt",Lübeck,41,Schleswig-Holstein
1004,"Neumünster, Stadt",Neumünster,41,Schleswig-Holstein
1051,Dithmarschen,",",43,Schleswig-Holstein
1053,Herzogtum Lauenburg,",",43,Schleswig-Holstein
1054,Nordfriesland,",",43,Schleswig-Holstein
1055,Ostholstein,",",43,Schleswig-Holstein
1056,Pinneberg,",",43,Schleswig-Holstein
1057,Plön,",",43,Schleswig-Holstein
1058,Rendsburg-Eckernförde,",",43,Schleswig-Holstein
1059,Schleswig-Flensburg,",",43,Schleswig-Holstein
1060,Segeberg,",",43,Schleswig-Holstein
1061,Steinburg,",",43,Schleswig-Holstein
1062,Stormarn,",",43,Schleswig-Holstein
2000,"Hamburg, Freie und Hansestadt",Hamburg,41,Hamburg
2051,"Brandenburg an der Havel, Stadt",Brandenburg an der Havel,41,Brandenburg
2052,"Cottbus, Stadt",Cottbus,41,Brandenburg
2053,"Frankfurt (Oder), Stadt",Frankfurt (Oder),41,Brandenburg
2054,"Potsdam, Stadt",Potsdam,41,Brandenburg
2060,Barnim,",",44,Brandenburg
2061,Dahme-Spreewald,",",44,Brandenburg
2062,Elbe-Elster,",",44,Brandenburg
2063,Havelland,",",44,Brandenburg
2064,Märkisch-Oderland,",",44,Brandenburg
2065,Oberhavel,",",44,Brandenburg
2066,Oberspreewald-Lausitz,",",44,Brandenburg
2067,Oder-Spree,",",44,Brandenburg
2068,Ostprignitz-Ruppin,",",44,Brandenburg
2069,Potsdam-Mittelmark,",",44,Brandenburg
2070,Prignitz,",",44,Brandenburg
2071,Spree-Neiße,",",44,Brandenburg
2072,Teltow-Fläming,",",44,Brandenburg
2073,Uckermark,",",44,Brandenburg
3003,Rostock,",",41,Mecklenburg-Vorpommern
3004,Schwerin,",",41,Mecklenburg-Vorpommern
3071,Mecklenburgische Seenplatte,",",44,Mecklenburg-Vorpommern
3072,Landkreis Rostock,",",44,Mecklenburg-Vorpommern
3073,Vorpommern-Rügen,",",44,Mecklenburg-Vorpommern
3074,Nordwestmecklenburg,",",44,Mecklenburg-Vorpommern
3075,Vorpommern-Greifswald,",",44,Mecklenburg-Vorpommern
3076,Ludwigslust-Parchim,",",44,Mecklenburg-Vorpommern
3101,"Braunschweig, Stadt",Braunschweig,41,Niedersachsen
3102,"Salzgitter, Stadt",Salzgitter,41,Niedersachsen
3103,"Wolfsburg, Stadt",Wolfsburg,41,Niedersachsen
3151,Gifhorn,",",44,Niedersachsen
3153,Goslar,",",44,Niedersachsen
3154,Helmstedt,",",44,Niedersachsen
3155,Northeim,",",44,Niedersachsen
3157,Peine,",",44,Niedersachsen
3158,Wolfenbüttel,",",44,Niedersachsen
3159,Göttingen,",",44,Niedersachsen
3241,Region Hannover,",",44,Niedersachsen
3251,Diepholz,",",44,Niedersachsen
3252,Hameln-Pyrmont,",",44,Niedersachsen
3254,Hildesheim,",",44,Niedersachsen
3255,Holzminden,",",44,Niedersachsen
3256,Nienburg (Weser),",",44,Niedersachsen
3257,Schaumburg,",",44,Niedersachsen
3351,Celle,",",44,Niedersachsen
3352,Cuxhaven,",",44,Niedersachsen
3353,Harburg,",",44,Niedersachsen
3354,Lüchow-Dannenberg,",",44,Niedersachsen
3355,Lüneburg,",",44,Niedersachsen
3356,Osterholz,",",44,Niedersachsen
3357,Rotenburg (Wümme),",",44,Niedersachsen
3358,Heidekreis,",",44,Niedersachsen
